block,gas_used,gas_limit,pct_full,tx_count,timestamp
23808052,24910642,44999914,55.36,295,1763251547
23808056,17351668,45000000,38.56,225,1763251595
23808061,45011385,45043858,99.93,174,1763251655
23808064,17543466,45000000,38.99,148,1763251691
23808065,14344086,45000000,31.88,160,1763251703
23808068,24400757,44956013,54.28,125,1763251739
23808075,44878171,45000000,99.73,318,1763251823
23808081,2542779,44956056,5.66,47,1763251895
23808094,15683589,45043858,34.82,129,1763252051
23808096,14542625,45043944,32.29,150,1763252075
23808100,21104202,44955970,46.94,170,1763252123
23808102,40943912,45000000,90.99,106,1763252147
23808110,16680279,45000000,37.07,190,1763252243
23808111,34367666,45000000,76.37,142,1763252255
23808114,31181497,45000000,69.29,171,1763252291
23808115,22160224,45043944,49.2,197,1763252303
23808117,16108588,45131961,35.69,150,1763252327
23808124,22880177,45175905,50.65,229,1763252411
23808140,44399338,45087416,98.47,217,1763252603
23808149,16412605,45043944,36.44,147,1763252711
23808150,44984107,45000000,99.96,158,1763252723
23808153,22192342,45043901,49.27,190,1763252759
23808155,14550700,45043858,32.3,138,1763252783
23808159,32086609,45000000,71.3,236,1763252831
23808161,13882453,45087931,30.79,154,1763252855
23808165,18219045,45043944,40.45,199,1763252903
23808168,11195934,45000000,24.88,147,1763252939
23808178,13632851,45043944,30.27,160,1763253059
23808182,36289269,44956056,80.72,215,1763253107
23808183,20950628,44999957,46.56,196,1763253119
23808185,24305466,45000000,54.01,273,1763253143
23808197,22395435,44956013,49.82,203,1763253287
23808198,17953005,44999914,39.9,175,1763253299
23808204,7304286,45043858,16.22,114,1763253371
23808207,45067123,45087931,99.95,213,1763253419
23808213,45133902,45175948,99.91,331,1763253491
23808218,22807909,45308382,50.34,195,1763253551
23808219,4937244,45352627,10.89,112,1763253563
23808221,17531597,45441246,38.58,169,1763253587
23808227,2411057,45529953,5.3,48,1763253659
23808232,15878359,45396656,34.98,175,1763253719
23808235,35292993,45263792,77.97,162,1763253755
23808237,20511588,45263748,45.32,192,1763253779
23808238,25333216,45219547,56.02,291,1763253791
23808249,35904623,45175174,79.48,146,1763253923
23808256,10889609,45000000,24.2,136,1763254007
23808259,8598523,45000000,19.11,125,1763254043
23808263,39490591,44912155,87.93,205,1763254091
23808265,14838667,44999914,32.97,194,1763254115
23808274,9212633,45087888,20.43,62,1763254223
23808277,14526948,45131875,32.19,163,1763254259
23808281,10869129,45043729,24.13,131,1763254307
23808288,44954063,44956056,100.0,91,1763254391
23808291,14081375,45000000,31.29,150,1763254427
23808295,2783618,45087888,6.17,63,1763254475
23808299,13746676,45264266,30.37,125,1763254523
23808300,45209581,45220064,99.98,116,1763254535
23808301,26552878,45175905,58.78,288,1763254547
23808302,12999529,45220021,28.75,129,1763254559
23808303,40753956,45175862,90.21,184,1763254571
23808305,45078747,45087674,99.98,197,1763254595
23808307,17053399,45087631,37.82,134,1763254619
23808308,35852112,45043602,79.59,196,1763254631
23808310,43562231,45131617,96.52,258,1763254655
23808312,36862105,45131574,81.68,175,1763254679
23808319,12546143,45263833,27.72,137,1763254763
23808320,44705565,45308034,98.67,214,1763254775
23808322,32993380,45219588,72.96,129,1763254799
23808323,33095694,45175430,73.26,351,1763254811
23808333,28827188,45087071,63.94,477,1763254931
23808335,17790702,45000000,39.53,179,1763254955
23808339,16101839,45000000,35.78,142,1763255003
23808341,6098876,44999957,13.55,96,1763255027
23808344,19583990,44955970,43.56,124,1763255063
23808345,3853451,44999871,8.56,90,1763255075
23808351,14654466,44956056,32.6,166,1763255147
23808353,44972724,45000000,99.94,158,1763255171
23808355,14215428,45000000,31.59,188,1763255195
23808356,39516543,45000000,87.81,182,1763255207
23808361,14894715,45043858,33.07,150,1763255267
23808373,29231203,45043944,64.89,162,1763255411
23808384,11945567,44912026,26.6,97,1763255543
23808385,4624213,44955884,10.29,102,1763255555
23808392,13166005,45000000,29.26,203,1763255639
23808395,41984558,45000000,93.3,166,1763255675
23808396,8043133,45043944,17.86,106,1763255687
23808397,29665180,45000000,65.92,236,1763255699
23808399,2585416,44999957,5.75,51,1763255723
23808400,44992304,45000000,99.98,248,1763255735
23808404,9420601,45000000,20.93,118,1763255783
23808409,37604657,45087931,83.4,158,1763255843
23808410,11530745,45131961,25.55,136,1763255855
23808426,18707213,45087931,41.49,186,1763256047
23808433,27480006,45000000,61.07,221,1763256143
23808436,17416881,45000000,38.7,165,1763256179
23808438,39148818,45000000,87.0,237,1763256203
23808440,43225777,45000000,96.06,187,1763256227
23808448,25806035,45000000,57.35,160,1763256323
23808451,14550237,44999957,32.33,153,1763256359
23808460,18458776,44999828,41.02,141,1763256467
23808477,23240065,45000000,51.64,287,1763256671
23808478,25627675,44956056,57.01,147,1763256683
23808479,13389572,44999957,29.75,132,1763256695
23808483,26739056,44956056,59.48,221,1763256743
23808486,13534444,44999914,30.08,83,1763256779
23808487,24462999,45043858,54.31,170,1763256791
23808489,18689261,45000000,41.53,213,1763256815
23808495,11249910,44999871,25.0,143,1763256887
23808498,6635145,45000000,14.74,84,1763256923
23808501,43249444,45000000,96.11,193,1763256959
23808502,11620860,45000000,25.82,138,1763256971
23808503,14018872,44956056,31.18,131,1763256983
23808504,37761297,44999957,83.91,198,1763256995
23808506,3607314,45087888,8.0,43,1763257019
23808511,16353648,45000000,36.34,163,1763257079
23808517,9220456,45043901,20.47,112,1763257151
23808530,21537627,45087802,47.77,202,1763257307
23808531,17714863,45043772,39.33,183,1763257319
23808533,17092663,45043729,37.95,154,1763257343
23808534,14402730,44999742,32.01,136,1763257355
23808535,29968724,45043686,66.53,100,1763257367
23808541,44963867,44999957,99.92,232,1763257439
23808545,13166682,44999871,29.26,136,1763257487
23808550,17300621,45000000,38.45,176,1763257547
23808551,32716380,45043944,72.63,128,1763257559
23808552,13765432,45087931,30.53,62,1763257571
23808555,44647328,45131918,98.93,430,1763257607
23808558,15972269,45000000,35.49,192,1763257643
23808561,18317827,45000000,40.71,217,1763257679
23808562,20326416,45000000,45.17,175,1763257691
23808566,9271994,44999914,20.6,146,1763257739
23808573,11728256,45043858,26.04,131,1763257823
23808576,3896073,45087802,8.64,74,1763257859
23808578,17909893,45087759,39.72,175,1763257883
23808579,19113720,45043729,42.43,59,1763257895
23808581,30746357,45000000,68.33,197,1763257919
23808587,19716663,44956013,43.86,175,1763257991
23808595,23913881,45000000,53.14,179,1763258087
23808603,44987508,45000000,99.97,109,1763258183
23808610,45030398,45043815,99.97,106,1763258267
23808612,23953983,45000000,53.23,221,1763258291
23808615,4465435,45000000,9.92,80,1763258327
23808623,15510516,45043944,34.43,214,1763258423
23808624,4943061,44999957,10.98,92,1763258435
23808626,29273618,44956056,65.12,265,1763258459
23808627,6421761,44999957,14.27,125,1763258471
23808632,32716174,45000000,72.7,189,1763258531
23808634,9864835,44999957,21.92,140,1763258555
23808637,9712654,45000000,21.58,131,1763258591
23808639,33279893,44956056,74.03,117,1763258627
23808651,13732126,45000000,30.52,155,1763258771
23808652,24753802,45043944,54.95,144,1763258783
23808655,13460072,45043944,29.88,158,1763258819
23808668,19702556,45043901,43.74,110,1763258975
23808670,27674361,45043858,61.44,270,1763258999
23808673,27480501,45000000,61.07,287,1763259035
23808676,30892654,45043901,68.58,241,1763259071
23808677,19272096,45087888,42.74,129,1763259083
23808679,16978139,45087845,37.66,137,1763259107
23808682,23016100,45131832,51.0,181,1763259143
23808683,21582066,45175905,47.77,231,1763259155
23808684,12619744,45131789,27.96,126,1763259167
23808686,16967897,45131745,37.6,176,1763259191
23808688,43408783,45131702,96.18,96,1763259215
23808690,10770514,45131659,23.86,108,1763259239
23808694,10441969,45043515,23.18,112,1763259287
23808701,19329745,45000000,42.95,165,1763259371
23808709,16840844,45000000,37.42,156,1763259467
23808718,27188273,45000000,60.42,86,1763259575
23808721,40904252,44999957,90.9,237,1763259611
23808727,44859431,44868254,99.98,158,1763259683
23808730,16083503,44912026,35.81,139,1763259719
23808733,18869525,45043729,41.89,139,1763259755
23808739,18336732,44956056,40.79,133,1763259827
23808751,3859882,45043858,8.57,61,1763259971
23808757,16533187,45043729,36.7,166,1763260043
23808759,22879110,45043687,50.79,224,1763260067
23808761,44384686,45043944,98.54,242,1763260091
23808769,17192961,45043901,38.17,143,1763260187
23808770,23101433,44999914,51.34,136,1763260199
23808772,14518767,45000000,32.26,164,1763260223
23808773,18629475,45000000,41.4,226,1763260235
23808775,44985079,44999957,99.97,191,1763260259
23808777,20842584,45000000,46.32,203,1763260283
23808781,21953127,45087931,48.69,228,1763260331
23808783,16015735,45087888,35.52,171,1763260355
23808784,37063100,45043858,82.28,155,1763260367
23808790,17623120,44956013,39.2,139,1763260439
23808803,19687082,45264092,43.49,151,1763260595
23808804,16133761,45308294,35.61,169,1763260607
23808810,24989217,45131530,55.37,181,1763260679
23808811,17987054,45087458,39.89,203,1763260691
23808812,16274601,45043429,36.13,154,1763260703
23808815,4002581,45087372,8.88,72,1763260739
23808818,14683907,45043300,32.6,147,1763260775
23808821,32489441,45087243,72.06,87,1763260811
23808822,20614031,45131272,45.68,307,1763260823
23808824,21869364,45043171,48.55,193,1763260847
23808831,38200529,44999914,84.89,307,1763260931
23808839,37212324,44912155,82.86,126,1763261027
23808850,7423758,45000000,16.5,99,1763261159
23808857,39116274,44999957,86.93,257,1763261243
23808859,7643001,45043944,16.97,121,1763261267
23808872,8831490,45000000,19.63,198,1763261423
23808882,21873129,45087845,48.51,186,1763261555
23808884,37672657,45087802,83.55,205,1763261579
23808887,17581481,45131789,38.96,163,1763261615
23808892,20733558,45175774,45.9,155,1763261675
23808904,33017121,45175516,73.09,211,1763261819
23808909,18711019,45131315,41.46,159,1763261879
23808911,5091051,45131272,11.28,82,1763261903
23808919,26755180,44999914,59.46,190,1763261999
23808923,25338482,45000000,56.31,368,1763262047
23808924,39008651,44956056,86.77,200,1763262059
23808931,10094519,45087931,22.39,92,1763262155
23808946,31273397,45043901,69.43,139,1763262335
23808947,16604012,45087888,36.83,145,1763262347
23808952,14016491,45000000,31.15,128,1763262407
23808954,6461797,44999957,14.36,91,1763262431
23808956,35207494,45087888,78.09,134,1763262455
23808959,40578868,45131875,89.91,169,1763262491
23808960,11277863,45175948,24.96,129,1763262503
23808961,11187010,45131832,24.79,111,1763262515
23808974,11739326,45176034,25.99,152,1763262671
23808981,20273064,45131789,44.92,201,1763262755
23808985,12073138,45131702,26.75,67,1763262803
23808987,17928891,45131659,39.73,117,1763262827
23808989,42154675,45043558,93.59,229,1763262851
23808990,10998074,45087544,24.39,124,1763262863
23808991,35733840,45043515,79.33,143,1763262875
23808992,3634471,45087501,8.06,69,1763262887
23809000,43592059,44999871,96.87,191,1763262983
23809003,38288823,45000000,85.09,154,1763263019
23809004,15567320,44956056,34.63,145,1763263031
23809005,14869081,44999957,33.04,163,1763263043
23809007,20045694,45000000,44.55,152,1763263067
23809012,39474575,45043901,87.64,367,1763263127
23809021,39891257,45087888,88.47,144,1763263235
23809025,20727620,45264266,45.79,105,1763263283
23809028,18830013,45308425,41.56,169,1763263319
23809031,21167542,45175819,46.86,246,1763263355
23809033,45064351,45087631,99.95,206,1763263379
23809034,10378467,45043602,23.04,80,1763263391
23809036,8384954,45000000,18.63,77,1763263415
23809042,8813102,45000000,19.58,143,1763263487
23809043,25429125,44956056,56.56,323,1763263499
23809046,7353068,44956056,16.36,73,1763263535
23809049,23753988,45043944,52.74,207,1763263571
23809056,36886824,44956013,82.05,174,1763263655
23809062,44461801,45043944,98.71,174,1763263727
23809070,14154071,45043901,31.42,183,1763263823
23809071,14799310,45000000,32.89,174,1763263835
23809077,40266957,45000000,89.48,230,1763263907
23809080,15408085,44999957,34.24,158,1763263943
23809086,40153059,45043901,89.14,230,1763264015
23809087,39422733,45087888,87.44,168,1763264027
23809091,14767386,45175948,32.69,143,1763264075
23809098,30231579,44956013,67.25,147,1763264159
23809101,4693859,45043944,10.42,87,1763264195
23809113,27458397,45043858,60.96,127,1763264339
23809129,20665331,45087845,45.83,175,1763264531
23809131,32229987,45087802,71.48,168,1763264555
23809140,31154348,45000000,69.23,145,1763264663
23809162,32900587,44912112,73.26,165,1763264927
23809164,31409407,44999871,69.8,165,1763264951
23809166,35963235,44956056,80.0,190,1763264975
23809168,33564696,44956013,74.66,193,1763264999
23809173,20807619,45043944,46.19,79,1763265071
23809174,44799992,45087931,99.36,206,1763265083
23809177,40023618,45043858,88.85,201,1763265119
23809179,13265099,45043944,29.45,140,1763265143
23809181,18487520,45000000,41.08,200,1763265167
23809189,17738453,45043815,39.38,149,1763265263
23809201,4145980,45043944,9.2,79,1763265407
23809202,35688661,45087931,79.15,139,1763265419
23809208,12980498,45087802,28.79,145,1763265491
23809214,1864699,45043901,4.14,35,1763265563
23809225,5017351,45087845,11.13,59,1763265695
23809227,44972350,44999828,99.94,480,1763265719
23809228,25497249,45043772,56.61,210,1763265731
23809242,19677886,45043815,43.69,170,1763265899
23809249,13666099,45087931,30.31,147,1763265983
23809255,15419046,45087802,34.2,155,1763266055
23809261,19306984,45087888,42.82,210,1763266127
23809275,23310998,45000000,51.8,207,1763266295
23809284,36274532,44999957,80.61,270,1763266415
23809293,10601773,45131961,23.49,126,1763266523
23809294,35989199,45087888,79.82,165,1763266535
23809297,42534216,45131875,94.24,198,1763266571
23809298,14180854,45175948,31.39,120,1763266583
23809300,40434770,45087759,89.68,129,1763266619
23809304,16406979,44999701,36.46,141,1763266667
23809308,14242712,45000000,31.65,158,1763266715
23809310,10655259,45087931,23.63,130,1763266739
23809314,8745402,45087845,19.4,92,1763266787
23809316,11483297,45087802,25.47,112,1763266811
23809321,18999964,45219978,42.02,178,1763266871
23809329,13759631,45308210,30.37,129,1763266967
23809331,45209634,45219763,99.98,381,1763266991
23809353,38734212,45043901,85.99,204,1763267255
23809359,27201977,45131832,60.27,242,1763267327
23809363,13472766,45000000,29.94,139,1763267375
23809368,30702499,44868254,68.43,156,1763267435
23809370,20199210,44955927,44.93,132,1763267459
23809372,37744596,45043772,83.8,204,1763267483
23809373,37823770,45000000,84.05,131,1763267495
23809383,26913192,44999957,59.81,208,1763267615
23809386,15017657,45131918,33.28,150,1763267651
23809406,11181723,45000000,24.85,119,1763267891
23809412,13869197,45043858,30.79,139,1763267963
23809420,17134278,45000000,38.08,197,1763268059
23809433,10132461,45000000,22.52,108,1763268215
23809436,22484160,45000000,49.96,111,1763268251
23809441,18840275,45000000,41.87,127,1763268311
23809455,11106633,45087673,24.63,105,1763268491
23809459,10181964,45000000,22.63,118,1763268539
23809460,37726054,45043944,83.75,170,1763268551
23809464,44042186,44912155,98.06,160,1763268599
23809467,42829873,45043858,95.08,156,1763268635
23809472,10238139,45087759,22.71,115,1763268695
23809474,16522925,44999742,36.72,123,1763268719
23809476,5660625,45000000,12.58,65,1763268743
23809480,15200178,45087931,33.71,182,1763268791
23809485,24041094,45000000,53.42,243,1763268851
23809489,5985316,45087931,13.27,74,1763268899
23809490,42499824,45131961,94.17,213,1763268911
23809491,6496574,45087888,14.41,71,1763268923
23809494,3998880,45043815,8.88,143,1763268959
23809500,10738370,44956013,23.89,132,1763269031
23809502,12464958,44955970,27.73,148,1763269055
23809508,45015599,45043901,99.94,160,1763269127
23809511,18399307,45000000,40.89,185,1763269163
23809518,44940678,44955927,99.97,187,1763269247
23809522,33868833,44999957,75.26,90,1763269295
23809524,20081570,44999914,44.63,188,1763269319
23809530,15753591,44999914,35.01,154,1763269391
23809531,13094778,45043858,29.07,141,1763269403
23809533,13748219,45000000,30.55,136,1763269427
23809535,14215105,45000000,31.59,129,1763269451
23809536,1426945,45043944,3.17,36,1763269463
23809538,13094819,45043944,29.07,130,1763269487
23809543,12819090,45000000,28.49,117,1763269547
23809544,36083912,45043944,80.11,202,1763269559
23809545,18907334,45000000,42.02,154,1763269571
23809552,22045687,45000000,48.99,207,1763269655
23809553,9722172,45000000,21.6,116,1763269667
23809554,38951385,45043944,86.47,187,1763269679
23809561,12574988,44999828,27.94,99,1763269763
23809565,44932343,45000000,99.85,607,1763269811
23809567,44227055,45000000,98.28,201,1763269835
23809575,5708147,44956056,12.7,116,1763269931
23809579,17195738,45043858,38.18,232,1763269979
23809580,16244332,45087845,36.03,142,1763269991
23809587,2131244,45043686,4.73,42,1763270075
23809602,44975112,45087888,99.75,107,1763270255
23809603,21177139,45043858,47.01,155,1763270267
23809605,40953475,45000000,91.01,276,1763270291
23809610,18789634,45000000,41.75,222,1763270351
23809614,11999628,45043944,26.64,119,1763270399
23809615,19770423,45000000,43.93,185,1763270411
23809624,45077464,45087845,99.98,120,1763270519
23809627,37071756,45043772,82.3,135,1763270555
23809633,16677018,45131961,36.95,151,1763270627
23809635,21171777,45043858,47.0,214,1763270651
23809641,43393002,44956056,96.52,164,1763270723
23809644,3309595,44912112,7.37,58,1763270759
23809646,44989464,44999871,99.98,204,1763270783
23809647,11490143,45043815,25.51,153,1763270795
23809651,13682115,45131789,30.32,122,1763270843
23809652,36861209,45175862,81.59,124,1763270855
23809654,4030771,45087674,8.94,116,1763270879
23809659,14308706,44999957,31.8,135,1763270939
23809662,3910326,45043944,8.68,59,1763270975
23809663,45072393,45087931,99.97,227,1763270987
23809665,31625218,45087888,70.14,164,1763271011
23809673,13532405,45087716,30.01,137,1763271107
23809675,15465224,45087673,34.3,142,1763271131
23809678,16456763,45043944,36.53,261,1763271167
23809682,43009611,45000000,95.58,265,1763271215
23809688,12430220,45000000,27.62,132,1763271287
23809693,14443261,45000000,32.1,138,1763271347
23809694,16080618,45043944,35.7,152,1763271359
23809695,21464600,44999957,47.7,78,1763271371
23809698,38791948,45000000,86.2,60,1763271407
23809699,15745038,45000000,34.99,182,1763271419
23809700,17014793,45043944,37.77,155,1763271431
23809703,37343027,45087888,82.82,171,1763271467
23809707,13116733,45175948,29.03,141,1763271515
23809711,8238253,45000000,18.31,82,1763271563
23809712,22591230,44956056,50.25,224,1763271575
23809716,8102343,45000000,18.01,101,1763271623
23809728,33559867,45000000,74.58,157,1763271767
23809729,13543576,45043944,30.07,186,1763271779
23809732,11313703,45087931,25.09,113,1763271815
23809734,32401692,45000000,72.0,94,1763271839
23809735,13162070,44956056,29.28,190,1763271851
23809736,15069470,44912155,33.55,193,1763271863
23809737,8868003,44956013,19.73,108,1763271875
23809739,44812408,44955970,99.68,282,1763271899
23809740,11519245,44999871,25.6,141,1763271911
23809744,33618350,45043944,74.63,104,1763271959
23809745,9811837,45087931,21.76,112,1763271971
23809750,14038319,45043815,31.17,135,1763272031
23809759,44937523,44956013,99.96,196,1763272139
23809764,33856884,45043901,75.16,179,1763272199
23809769,7335227,44956056,16.32,105,1763272259
23809771,37467377,44956013,83.34,184,1763272283
23809772,17683142,44999914,39.3,351,1763272295
23809775,19024028,45000000,42.28,225,1763272331
23809780,12843595,45087888,28.49,160,1763272391
23809783,33537375,45000000,74.53,101,1763272427
23809785,36036859,44956056,80.16,150,1763272451
23809787,5977419,45043901,13.27,92,1763272475
23809790,13087339,45000000,29.08,113,1763272511
23809792,15155894,44956056,33.71,119,1763272535
23809796,13688961,44956056,30.45,139,1763272583
23809798,11017709,45043901,24.46,117,1763272607
23809805,8733491,44956056,19.43,104,1763272691
23809806,15236407,44999957,33.86,123,1763272703
23809807,41925838,45000000,93.17,213,1763272715
23809819,21383412,44999957,47.52,278,1763272859
23809825,26841414,45000000,59.65,90,1763272931
23809827,14714354,45043944,32.67,158,1763272955
23809830,18725962,45000000,41.61,168,1763272991
23809838,34331609,44999828,76.29,288,1763273087
23809844,12379545,45043944,27.48,107,1763273159
23809855,22571628,45175862,49.96,183,1763273303
23809862,23871942,45043559,53.0,253,1763273387
23809870,14492068,45000000,32.2,134,1763273483
23809875,17705146,45043944,39.31,239,1763273543
23809878,27325604,45000000,60.72,245,1763273579
23809884,17513732,45000000,38.92,152,1763273651
23809886,44845995,44999957,99.66,202,1763273675
23809891,44608201,44868211,99.42,260,1763273735
23809896,19560153,45000000,43.47,172,1763273795
23809901,38329354,45043858,85.09,172,1763273855
23809905,25360334,44999957,56.36,148,1763273903
23809906,28996010,45000000,64.44,213,1763273915
23809908,11333622,45000000,25.19,137,1763273939
23809910,13470839,44912155,29.99,136,1763273963
23809912,16532118,44912112,36.81,161,1763273987
23809913,13681504,44868254,30.49,130,1763273999
23809914,40493549,44912069,90.16,105,1763274011
23809915,23428909,44868211,52.22,234,1763274023
23809924,16421601,45043858,36.46,196,1763274131
23809926,17979870,44955927,39.99,159,1763274155
23809927,22293412,44999828,49.54,195,1763274167
23809932,33623676,44999957,74.72,132,1763274227
23809937,22320421,44955927,49.65,128,1763274287
23809946,10975673,44824224,24.49,118,1763274395
23809950,14283071,44824138,31.86,144,1763274443
23809951,31401176,44780366,70.12,133,1763274455
23809958,25139430,44911597,55.98,60,1763274539
23809964,38375992,45000000,85.28,258,1763274611
23809969,23207635,45000000,51.57,126,1763274671
23809970,4799645,45000000,10.67,72,1763274683
23809971,8697746,44956056,19.35,38,1763274695
23809974,7558099,45000000,16.8,85,1763274731
23809978,19928592,45087888,44.2,72,1763274779
23809986,29264244,45043901,64.97,170,1763274875
23809987,16328917,45087888,36.22,133,1763274887
23809988,10801257,45131918,23.93,105,1763274899
23809991,15272070,44999828,33.94,135,1763274935
23809992,15159994,45000000,33.69,143,1763274947
23809999,11902076,45043901,26.42,122,1763275031
23810002,36362704,44956056,80.88,148,1763275067
23810005,37993131,45043944,84.35,150,1763275103
23810015,29190621,45087845,64.74,157,1763275235
23810016,26798612,45131875,59.38,271,1763275247
23810017,5185260,45087802,11.5,92,1763275259
23810018,45024837,45043772,99.96,161,1763275271
23810020,35923618,45000000,79.83,156,1763275295
23810021,10707489,45043944,23.77,134,1763275307
23810023,39881304,45043901,88.54,209,1763275331
23810025,13027232,45043858,28.92,152,1763275355
23810029,15579448,45000000,34.62,147,1763275403
23810030,37744368,45000000,83.88,163,1763275415
23810047,17199296,45043686,38.18,112,1763275619
23810055,12867771,44999871,28.6,135,1763275715
23810056,35757546,45043815,79.38,167,1763275727
23810057,2429730,44999828,5.4,36,1763275739
23810063,20157545,45000000,44.79,175,1763275811
23810068,16093766,44912155,35.83,159,1763275871
23810073,43544760,44956056,96.86,268,1763275931
23810075,33717740,45043901,74.86,165,1763275955
23810079,40013803,45131961,88.66,134,1763276003
23810083,37877535,45043944,84.09,161,1763276051
23810089,16649503,45131961,36.89,138,1763276123
23810093,25191519,45131875,55.82,190,1763276171
23810095,17737084,45131832,39.3,188,1763276195
23810098,21750207,45087716,48.24,215,1763276231
23810099,39502819,45043687,87.7,125,1763276243
23810100,12407053,45087673,27.52,136,1763276255
23810103,41251625,45043601,91.58,131,1763276291
23810109,2487002,45043472,5.52,33,1763276363
23810124,2289501,45263615,5.06,33,1763276543
23810129,36221648,45131098,80.26,261,1763276603
23810132,36465226,45000000,81.03,142,1763276639
23810140,35700755,45131918,79.1,162,1763276735
23810142,24552573,45043815,54.51,191,1763276759
23810143,9993169,45000000,22.21,132,1763276771
23810149,12222589,45000000,27.16,152,1763276843
23810154,42793704,45087931,94.91,160,1763276903
23810156,4652303,45000000,10.34,64,1763276927
23810157,41094328,45043944,91.23,208,1763276939
23810161,28726427,44956013,63.9,161,1763276987
23810162,12808717,44999914,28.46,125,1763276999
23810165,18758157,44956056,41.73,176,1763277035
23810169,17213765,44868254,38.37,189,1763277083
23810174,39050064,44911983,86.95,218,1763277155
23810183,14706895,44999914,32.68,119,1763277263
23810184,39598299,44955970,88.08,220,1763277275
23810185,12051865,44999871,26.78,125,1763277287
23810189,12448058,45043901,27.64,138,1763277335
23810191,7643360,45000000,16.99,95,1763277359
23810192,35293074,45000000,78.43,212,1763277371
23810196,44287963,45043901,98.32,164,1763277419
23810199,24760439,45087845,54.92,78,1763277455
23810204,43380297,44956056,96.49,244,1763277515
23810209,30032637,45043944,66.67,124,1763277575
23810213,18347897,45131918,40.65,129,1763277623
23810214,2669658,45175991,5.91,49,1763277635
23810215,13665764,45131875,30.28,152,1763277647
23810217,7577524,45043772,16.82,104,1763277671
23810228,14843772,44956056,33.02,175,1763277803
23810230,12438785,45043901,27.61,150,1763277827
23810232,19378064,45043858,43.02,165,1763277851
23810239,13328931,45043944,29.59,151,1763277935
23810240,15333025,45087931,34.01,151,1763277947
23810247,14440880,44999957,32.09,159,1763278031
23810250,45069559,45087931,99.96,137,1763278067
23810258,18103456,45000000,40.23,117,1763278163
23810264,29906474,45000000,66.46,219,1763278235
23810269,13899553,44956056,30.92,127,1763278295
23810272,33926759,44999914,75.39,115,1763278331
23810281,24105025,44956013,53.62,138,1763278439
23810284,19681383,44999871,43.74,172,1763278475
23810287,23568893,45087931,52.27,182,1763278511
23810292,17021671,45043944,37.79,142,1763278571
23810294,4647333,45043901,10.32,71,1763278595
23810299,39064514,45000000,86.81,141,1763278655
